date,hour,temperature
2012-11-12,19,293.04
2012-11-12,20,294.05
2012-11-12,21,293.7
2012-11-12,22,292.61
2012-11-12,23,289.74
2012-11-13,0,286.14
2012-11-13,1,285.54
2012-11-13,2,284.97
2012-11-13,3,284.81
2012-11-13,4,284.29
2012-11-13,5,280.79
2012-11-13,6,278.07
2012-11-13,7,276.5
2012-11-13,8,275.74
2012-11-13,9,275.12
2012-11-13,10,274.22
2012-11-13,11,274.39
2012-11-13,12,272.89
2012-11-13,13,272.1
2012-11-13,14,272.24
2012-11-13,15,272.37
2012-11-13,16,272.48
2012-11-13,17,273.17
2012-11-13,18,273.68
2012-11-13,19,274.67
2012-11-13,20,274.73
2012-11-13,21,274.45
2012-11-13,22,274.4
2012-11-13,23,274.4
2012-11-14,0,274.33
2012-11-14,1,274.26
2012-11-14,2,274.33
2012-11-14,3,273.94
2012-11-14,4,273.28
2012-11-14,5,272.68
2012-11-14,6,271.58
2012-11-14,7,270.82
2012-11-14,8,270.29
2012-11-14,9,269.92
2012-11-14,10,269.61
2012-11-14,11,269.26
2012-11-14,12,269.26
2012-11-14,13,269.03
2012-11-14,14,270.67
2012-11-14,15,272.04
2012-11-14,16,273.36
2012-11-14,17,274.14
2012-11-14,18,275.58
2012-11-14,19,276.55
2012-11-14,20,277.06
2012-11-14,21,277.42
